#1st fragment	2nd fragment
[98890000 98900000]	[99250000 99260000]
[98980000 98990000]	[99250000 99260000]
[99010000 99020000]	[99250000 99260000]
[99130000 99140000]	[98890000 98900000]
[99140000 99150000]	[99250000 99260000]
[99250000 99260000]	[98980000 98990000]
[99260000 99270000]	[102950000 102960000]
[99380000 99390000]	[103360000 103370000]
[99410000 99420000]	[103360000 103370000]
[100380000 100390000]	[99140000 99150000]
[100660000 100670000]	[102950000 102960000]
[100810000 100820000]	[98980000 98990000]
[101110000 101120000]	[100810000 100820000]
[102310000 102320000]	[103360000 103370000]
[102950000 102960000]	[99260000 99270000]
[103150000 103160000]	[102310000 102320000]
[103360000 103370000]	[102310000 102320000]
